steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.30000000000000004,1,0.30000000000000004,0.7
2,2,0.4,1,0.1,1.6
3,3,0.6000000000000001,1,0.2,2.4000000000000004
4,4,1.4000000000000001,1,0.8,2.6000000000000005
5,5,1.9000000000000001,1,0.5,3.1000000000000005
6,6,2.7,1,0.8,3.3000000000000007
7,7,3.3000000000000003,1,0.6000000000000001,3.7000000000000006
8,8,3.5000000000000004,1,0.2,4.500000000000001
9,9,3.6000000000000005,1,0.1,5.400000000000001
10,10,4.500000000000001,1,0.9,5.500000000000001
12,12,5.700000000000001,1,0.30000000000000004,6.300000000000001
14,14,6.500000000000001,1,0.5,7.500000000000001
17,17,8.100000000000001,1,0.0,8.9
20,20,9.200000000000003,1,0.8,10.799999999999999
25,25,12.200000000000003,1,0.5,12.799999999999999
30,30,14.200000000000001,1,0.1,15.8
40,40,20.000000000000004,1,1.0,19.999999999999996
50,50,27.100000000000005,1,0.8,22.899999999999995
60,60,32.400000000000006,1,0.9,27.599999999999994
70,70,36.2,1,0.4,33.8
80,80,40.60000000000001,1,0.0,39.39999999999999
90,90,44.80000000000002,1,1.0,45.19999999999998
100,100,51.80000000000002,1,1.0,48.19999999999998
120,120,62.100000000000016,1,0.1,57.899999999999984
140,140,71.9,1,0.2,68.09999999999997
170,170,86.20000000000002,1,0.4,83.79999999999995
200,200,100.90000000000005,1,0.1,99.09999999999992
250,250,124.80000000000005,1,0.7000000000000001,125.19999999999992
300,300,146.39999999999998,1,0.0,153.6
400,400,197.20000000000005,1,0.30000000000000004,202.79999999999993
500,500,248.99999999999994,1,0.1,251.00000000000003
600,600,300.69999999999993,1,0.9,299.3
700,700,351.09999999999974,1,0.9,348.9000000000002
800,800,400.4999999999997,1,1.0,399.5000000000002
900,900,452.69999999999965,1,0.4,447.3000000000003
1000,1000,506.9999999999999,1,0.9,493.00000000000006
1200,1200,603.5999999999995,1,0.7000000000000001,596.4000000000008
1400,1400,707.5999999999999,1,1.0,692.4000000000003
1700,1700,859.5999999999996,1,0.30000000000000004,840.4000000000007
2000,2000,1000.2000000000005,1,0.4,999.7999999999997
2500,2500,1224.899999999999,1,0.4,1275.1000000000015
3000,3000,1483.9000000000003,1,0.8,1516.1000000000001
4000,4000,1973.8000000000036,1,0.5,2026.1999999999969
5000,5000,2467.200000000006,1,0.7000000000000001,2532.799999999995
6000,6000,2962.400000000003,1,0.5,3037.5999999999985
7000,7000,3482.8,1,0.1,3517.200000000001
8000,8000,3980.399999999997,1,0.0,4019.6000000000045
9000,9000,4487.399999999988,1,0.6000000000000001,4512.600000000011
10000,10000,4985.799999999992,1,0.7000000000000001,5014.200000000007
