steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.1,1,0.1,0.9
2,2,0.5,1,0.4,1.5
3,3,1.2000000000000002,1,0.7000000000000001,1.7999999999999998
4,4,2.2,1,1.0,1.7999999999999998
5,5,2.8000000000000003,1,0.6000000000000001,2.1999999999999997
6,6,3.8000000000000003,1,1.0,2.1999999999999997
7,7,4.4,1,0.6000000000000001,2.5999999999999996
8,8,4.7,1,0.30000000000000004,3.3
9,9,4.9,1,0.2,4.1
10,10,5.5,1,0.6000000000000001,4.5
12,12,7.0,1,0.9,5.0
14,14,8.6,1,0.6000000000000001,5.4
17,17,9.799999999999999,1,0.2,7.2
20,20,11.7,1,1.0,8.299999999999999
25,25,14.599999999999998,1,0.9,10.4
30,30,17.1,1,0.8,12.899999999999999
40,40,21.1,1,0.2,18.900000000000002
50,50,26.0,1,0.9,24.000000000000004
60,60,32.09999999999999,1,0.6000000000000001,27.900000000000013
70,70,36.399999999999984,1,0.8,33.600000000000016
80,80,40.59999999999999,1,0.1,39.40000000000001
90,90,46.09999999999998,1,0.8,43.90000000000002
100,100,50.399999999999984,1,0.9,49.600000000000016
120,120,59.99999999999998,1,0.6000000000000001,60.00000000000002
140,140,68.69999999999996,1,0.1,71.30000000000004
170,170,83.19999999999997,1,0.8,86.80000000000003
200,200,100.10000000000001,1,0.0,99.89999999999999
250,250,124.6,1,0.1,125.4
300,300,151.5,1,0.1,148.5
400,400,205.8000000000001,1,0.0,194.1999999999999
500,500,256.6,1,0.30000000000000004,243.39999999999995
600,600,310.8000000000001,1,0.4,289.19999999999976
700,700,360.9000000000003,1,0.4,339.09999999999957
800,800,409.9,1,0.1,390.0999999999999
900,900,456.19999999999976,1,0.1,443.8000000000001
1000,1000,510.7999999999995,1,0.7000000000000001,489.2000000000004
1200,1200,613.9999999999994,1,1.0,586.0000000000006
1400,1400,713.3999999999999,1,0.9,686.6000000000001
1700,1700,854.4999999999995,1,0.5,845.5000000000005
2000,2000,1013.1999999999989,1,0.8,986.8000000000011
2500,2500,1260.8999999999994,1,0.7000000000000001,1239.1
3000,3000,1506.3,1,1.0,1493.6999999999994
4000,4000,2010.0999999999979,1,0.8,1989.9000000000015
5000,5000,2515.8999999999983,1,0.9,2484.1000000000013
6000,6000,3025.0999999999995,1,0.7000000000000001,2974.9
7000,7000,3515.8999999999987,1,0.30000000000000004,3484.100000000001
8000,8000,4017.699999999997,1,0.0,3982.3000000000025
9000,9000,4525.3,1,0.5,4474.699999999998
10000,10000,5018.700000000005,1,0.0,4981.299999999993
