steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.6000000000000001,1,0.6000000000000001,0.3999999999999999
2,2,1.0,1,0.4,0.9999999999999999
3,3,1.4,1,0.4,1.5999999999999999
4,4,2.3,1,0.9,1.6999999999999997
5,5,3.3,1,1.0,1.6999999999999997
6,6,4.3,1,1.0,1.6999999999999997
7,7,4.3999999999999995,1,0.1,2.5999999999999996
8,8,5.3,1,0.9,2.6999999999999997
9,9,5.9,1,0.6000000000000001,3.0999999999999996
10,10,6.9,1,1.0,3.0999999999999996
12,12,7.7,1,0.7000000000000001,4.3
14,14,8.9,1,0.8,5.1
17,17,9.7,1,0.5,7.3
20,20,10.899999999999999,1,0.0,9.1
25,25,12.799999999999999,1,0.0,12.2
30,30,15.5,1,0.30000000000000004,14.499999999999998
40,40,19.000000000000004,1,0.0,20.999999999999996
50,50,23.200000000000003,1,0.6000000000000001,26.799999999999997
60,60,27.5,1,0.9,32.5
70,70,33.0,1,0.6000000000000001,37.00000000000001
80,80,37.20000000000001,1,0.6000000000000001,42.8
90,90,43.1,1,0.0,46.900000000000006
100,100,46.7,1,0.5,53.300000000000004
120,120,55.90000000000001,1,0.6000000000000001,64.1
140,140,66.8,1,0.4,73.19999999999999
170,170,83.30000000000001,1,0.9,86.69999999999997
200,200,98.40000000000003,1,0.1,101.59999999999995
250,250,124.80000000000004,1,0.30000000000000004,125.19999999999995
300,300,154.8000000000001,1,0.7000000000000001,145.19999999999987
400,400,204.00000000000014,1,0.30000000000000004,195.99999999999983
500,500,254.70000000000016,1,1.0,245.2999999999998
600,600,306.40000000000015,1,0.5,293.5999999999997
700,700,360.30000000000007,1,0.6000000000000001,339.69999999999976
800,800,410.1999999999998,1,0.30000000000000004,389.8
900,900,459.9999999999997,1,0.30000000000000004,440.0000000000001
1000,1000,505.79999999999984,1,0.5,494.2
1200,1200,608.9999999999999,1,0.30000000000000004,591.0
1400,1400,706.5999999999998,1,0.5,693.4000000000001
1700,1700,856.9000000000002,1,1.0,843.0999999999997
2000,2000,1006.1999999999995,1,0.4,993.8000000000004
2500,2500,1255.699999999998,1,0.6000000000000001,1244.3000000000027
3000,3000,1505.6999999999985,1,0.9,1494.3000000000022
4000,4000,1999.099999999996,1,0.30000000000000004,2000.9000000000046
5000,5000,2502.2999999999993,1,1.0,2497.700000000001
6000,6000,2997.4999999999964,1,0.30000000000000004,3002.500000000004
7000,7000,3502.5000000000005,1,0.1,3497.5
8000,8000,4000.2999999999993,1,0.7000000000000001,3999.700000000001
9000,9000,4517.999999999998,1,0.7000000000000001,4482.000000000002
10000,10000,5015.399999999991,1,0.2,4984.600000000009
