steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.2,1,0.2,0.8
2,2,1.2,1,1.0,0.8
3,3,2.2,1,1.0,0.8
4,4,2.7,1,0.5,1.3
5,5,3.1,1,0.4,1.9
6,6,3.3000000000000003,1,0.2,2.7
7,7,4.300000000000001,1,1.0,2.7
8,8,5.1000000000000005,1,0.8,2.9000000000000004
9,9,5.9,1,0.8,3.1000000000000005
10,10,6.300000000000001,1,0.4,3.7000000000000006
12,12,7.200000000000001,1,0.4,4.800000000000001
14,14,7.300000000000001,1,0.0,6.700000000000001
17,17,9.200000000000001,1,0.2,7.800000000000001
20,20,10.8,1,0.30000000000000004,9.200000000000001
25,25,14.300000000000002,1,0.6000000000000001,10.7
30,30,16.400000000000002,1,0.6000000000000001,13.6
40,40,21.0,1,0.7000000000000001,19.0
50,50,27.5,1,0.9,22.5
60,60,31.900000000000002,1,0.1,28.099999999999998
70,70,37.3,1,1.0,32.699999999999996
80,80,43.9,1,0.8,36.099999999999994
90,90,48.7,1,0.1,41.29999999999999
100,100,55.2,1,0.6000000000000001,44.79999999999999
120,120,66.90000000000003,1,0.9,53.09999999999999
140,140,78.70000000000006,1,0.7000000000000001,61.29999999999998
170,170,93.10000000000005,1,0.5,76.89999999999998
200,200,109.30000000000004,1,0.7000000000000001,90.69999999999999
250,250,135.90000000000003,1,0.6000000000000001,114.09999999999998
300,300,159.6,1,0.7000000000000001,140.4
400,400,210.89999999999995,1,0.0,189.10000000000005
500,500,258.6000000000001,1,0.5,241.39999999999995
600,600,308.50000000000017,1,1.0,291.4999999999999
700,700,364.6000000000001,1,0.5,335.4
800,800,414.1000000000001,1,0.30000000000000004,385.9
900,900,470.60000000000025,1,1.0,429.3999999999998
1000,1000,521.9000000000003,1,0.4,478.09999999999985
1200,1200,621.7000000000002,1,0.4,578.3
1400,1400,722.5000000000001,1,0.2,677.5
1700,1700,872.0000000000001,1,0.9,828.0
2000,2000,1022.5000000000001,1,0.7000000000000001,977.5
2500,2500,1276.5999999999997,1,0.4,1223.4000000000005
3000,3000,1525.3999999999992,1,1.0,1474.600000000001
4000,4000,2005.2999999999977,1,0.6000000000000001,1994.7000000000025
5000,5000,2492.0999999999917,1,0.0,2507.9000000000087
6000,6000,2983.7999999999925,1,0.4,3016.200000000008
7000,7000,3492.2000000000016,1,0.7000000000000001,3507.799999999999
8000,8000,4003.4000000000024,1,0.30000000000000004,3996.599999999998
9000,9000,4512.5999999999985,1,0.7000000000000001,4487.400000000003
10000,10000,5011.099999999996,1,0.9,4988.900000000006
