Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
20	-1314.9331	148.22752	-1107.9437	-1699.2185	-1196.9802	159.53572	-949.2006	-1566.0674	200.0	200.0	79999	-10707.174	150665.38	-0.7780932	-88.738815	-10709.006	150691.16	-0.46045205	-87.179146	-87.90265	1236.9493	1.7279491	-4.829879	53.425404	2.561009	594.4539473056793
21	-1258.591	175.2655	-950.9798	-1501.1791	-1211.4175	87.3403	-1049.5067	-1359.1654	200.0	200.0	83999	-11083.854	155965.8	-0.72510415	-85.35508	-11080.799	155922.81	-0.9085636	-84.98219	-75.734215	1065.7382	1.6127033	-4.8946047	55.09859	1.1765312	619.507194519043
22	-1191.425	95.66104	-1030.9817	-1431.281	-1012.6559	57.90597	-895.9823	-1101.1323	200.0	200.0	87999	-11644.303	163852.11	0.14966409	-91.42204	-11647.562	163897.95	-1.4809283	-89.825485	-69.5746	979.07184	1.6813757	-5.8734756	57.98299	2.1481686	644.8419981002808
23	-1158.4316	101.445755	-995.5238	-1375.9229	-1112.7017	73.812744	-1041.8818	-1271.8062	200.0	200.0	91999	-11849.175	166734.98	-0.8904577	-96.911446	-11846.409	166696.06	-1.3783623	-96.1032	-61.088463	859.6739	1.7927573	-5.295204	59.20331	3.0936313	669.5347921848297
24	-1099.2876	133.76704	-836.50995	-1337.1111	-980.4297	83.33649	-876.5192	-1093.449	200.0	200.0	95999	-12433.122	174951.95	-1.8151186	-94.37032	-12433.404	174955.9	-1.4874228	-91.92341	-50.308666	708.0149	1.8265283	-5.1876783	61.96885	1.6700935	697.8566596508026
25	-976.14514	151.15977	-705.88074	-1282.4045	-1030.5457	130.70523	-840.18164	-1258.5981	200.0	200.0	99999	-12391.422	174365.22	-0.7844454	-99.90827	-12392.333	174378.03	-1.3207703	-98.17756	-39.731346	559.2136	2.0529623	-5.807583	61.990135	4.2331705	727.6449575424194
26	-1034.9402	159.91287	-513.02155	-1231.2202	-896.2121	91.31373	-714.8142	-1021.73376	200.0	200.0	103999	-13234.268	186225.22	-1.7317601	-97.016846	-13229.372	186156.33	-0.8371774	-96.11505	-32.12435	452.21487	1.9741883	-5.654396	66.033806	2.2149787	770.1074013710022
27	-1037.2493	82.22054	-840.3439	-1164.614	-974.81824	161.22766	-514.0118	-1120.3646	200.0	200.0	107999	-13417.44	188802.75	-1.1478881	-101.96027	-13422.161	188869.17	-0.26334664	-103.71218	-25.118809	353.69714	1.9889624	-9.774018	66.94321	4.622672	808.7375345230103
28	-898.34045	180.43814	-504.5397	-1152.3585	-803.2002	127.02154	-519.4568	-944.7168	200.0	200.0	111999	-13427.245	188940.72	-1.6742599	-96.95077	-13429.459	188971.86	-1.0278624	-98.432045	-8.124804	115.14818	1.9787391	-6.750321	66.96141	2.326959	857.8573398590088
29	-910.8595	160.49675	-504.0739	-1174.314	-555.5534	212.001	-262.29062	-868.364	200.0	200.0	115999	-13957.498	196402.14	-1.481728	-105.780014	-13948.333	196273.19	-1.4024844	-106.670586	-3.1755607	46.746475	1.9117422	-7.5348897	69.70268	4.213446	896.6975898742676
